Repository Name, Num Of Executables,AVG Heap Allocs Fraction
cJSON,19,0.0341093028188103
dynamorio (x),173,0.0105971650084366
jq (?),2,0.0232682203300858
minmalloc (?),3,0.082938933444801
nanomsg,50,0.142298782579037
openssl (?),296,0.151340932097757
s2n-tls,260,0.81570130502364
cmark,1,0.0264273928517857
Collection-C,25,0.0390722309424185
fastfetch,2,0.010733196236471
json-c,27,0.281687468763224
libsndfile,36,0.0292184924451927
Onion (!),17,0.297444905219644
zip,8,0.0342616803787623
Zlog (!),26,0.314371728660937
AVERAGE,,0.152898115786734
